root,type,structure,notes
A#,9(#5),"1,3,#5,b7,9","A#,D,F#,G#,C"
A#,13,"1,3,5,b7,9,11,13","A#,D,F,G#,C,D#,G"
A#,6(#11),"1,3,5,6,#11","A#,D,F,G,E"
A#,7(#9),"1,3,5,b7,#9","A#,D,F,G#,C#"
A#,+(#11),"1,3,#5,#11","A#,D,F#,E"
A#,9,"1,3,5,b7,9","A#,D,F,G#,C"
A#,9b5,"1,3,b5,b7,9","A#,D,E,G#,C"
A#,maj13,"1,3,5,7,9,11,13","A#,D,F,A,C,D#,G"
A#,7,"1,3,5,b7","A#,D,F,G#"
A#,dim7,"1,b3,b5,A#7","A#,C#,E,G"
A#,aug,"1,3,#5","A#,D,F#"
A#,m(maj9),"1,b3,5,7,9","A#,C#,F,A,C"
A#,maj,"1,3,5","A#,D,F"
A#,13(#11),"1,3,5,b7,9,#11,13","A#,D,F,G#,C,E,G"
A#,11,"1,3,5,b7,9,11","A#,D,F,G#,C,D#"
A#,maj9,"1,3,5,7,9","A#,D,F,A,C"
A#,sus2,"1,2,5","A#,C,F"
A#,7(b13),"1,3,5,b7,b13","A#,D,F,G#,F#"
A#,maj7(#5),"1,3,#5,7","A#,D,F#,A"
A#,m11,"1,b3,5,b7,9,11","A#,C#,F,G#,C,D#"
A#,add9,"1,3,5,9","A#,D,F,C"
A#,m7b5,"1,b3,b5,b7","A#,C#,E,G#"
A#,m13,"1,b3,5,b7,9,11,13","A#,C#,F,G#,C,D#,G"
A#,m,"1,b3,5","A#,C#,F"
A#,7b5,"1,3,b5,b7","A#,D,E,G#"
A#,9(#11),"1,3,5,b7,9,#11","A#,D,F,G#,C,E"
A#,m7,"1,b3,5,b7","A#,C#,F,G#"
A#,m(maj7),"1,b3,5,7","A#,C#,F,A"
A#,dim,"1,b3,b5","A#,C#,E"
A#,6,"1,3,5,6","A#,D,F,G"
A#,7(#5),"1,3,#5,b7","A#,D,F#,G#"
A#,7sus4,"1,4,5,b7","A#,D#,F,G#"
A#,maj7,"1,3,5,7","A#,D,F,A"
A#,5,"1,5","A#,F"
A#,7(#11),"1,3,5,b7,#11","A#,D,F,G#,E"
A#,13(#9),"1,3,5,b7,#9,11,13","A#,D,F,G#,C#,D#,G"
A#,m6,"1,b3,5,6","A#,C#,F,G"
A#,13(#5),"1,3,#5,b7,9,11,13","A#,D,F#,G#,C,D#,G"
A#,m6/9,"1,b3,5,6,9","A#,C#,F,G,C"
A#,7(b9),"1,3,5,b7,b9","A#,D,F,G#,B"
A#,m9,"1,b3,5,b7,9","A#,C#,F,G#,C"
A#,13(b9),"1,3,5,b7,b9,11,13","A#,D,F,G#,B,D#,G"
A#,sus4,"1,4,5","A#,D#,F"
A#,6/9,"1,3,5,6,9","A#,D,F,G,C"
C#,9(#5),"1,3,#5,b7,9","C#,F,A,B,D#"
C#,13,"1,3,5,b7,9,11,13","C#,F,G#,B,D#,F#,A#"
C#,6(#11),"1,3,5,6,#11","C#,F,G#,A#,G"
C#,7(#9),"1,3,5,b7,#9","C#,F,G#,B,E"
C#,+(#11),"1,3,#5,#11","C#,F,A,G"
C#,9,"1,3,5,b7,9","C#,F,G#,B,D#"
C#,9b5,"1,3,b5,b7,9","C#,F,G,B,D#"
C#,maj13,"1,3,5,7,9,11,13","C#,F,G#,C,D#,F#,A#"
C#,7,"1,3,5,b7","C#,F,G#,B"
C#,dim7,"1,b3,b5,A#7","C#,E,G,A#"
C#,aug,"1,3,#5","C#,F,A"
C#,m(maj9),"1,b3,5,7,9","C#,E,G#,C,D#"
C#,maj,"1,3,5","C#,F,G#"
C#,13(#11),"1,3,5,b7,9,#11,13","C#,F,G#,B,D#,G,A#"
C#,11,"1,3,5,b7,9,11","C#,F,G#,B,D#,F#"
C#,maj9,"1,3,5,7,9","C#,F,G#,C,D#"
C#,sus2,"1,2,5","C#,D#,G#"
C#,7(b13),"1,3,5,b7,b13","C#,F,G#,B,A"
C#,maj7(#5),"1,3,#5,7","C#,F,A,C"
C#,m11,"1,b3,5,b7,9,11","C#,E,G#,B,D#,F#"
C#,add9,"1,3,5,9","C#,F,G#,D#"
C#,m7b5,"1,b3,b5,b7","C#,E,G,B"
C#,m13,"1,b3,5,b7,9,11,13","C#,E,G#,B,D#,F#,A#"
C#,m,"1,b3,5","C#,E,G#"
C#,7b5,"1,3,b5,b7","C#,F,G,B"
C#,9(#11),"1,3,5,b7,9,#11","C#,F,G#,B,D#,G"
C#,m7,"1,b3,5,b7","C#,E,G#,B"
C#,m(maj7),"1,b3,5,7","C#,E,G#,C"
C#,dim,"1,b3,b5","C#,E,G"
C#,6,"1,3,5,6","C#,F,G#,A#"
C#,7(#5),"1,3,#5,b7","C#,F,A,B"
C#,7sus4,"1,4,5,b7","C#,F#,G#,B"
C#,maj7,"1,3,5,7","C#,F,G#,C"
C#,5,"1,5","C#,G#"
C#,7(#11),"1,3,5,b7,#11","C#,F,G#,B,G"
C#,13(#9),"1,3,5,b7,#9,11,13","C#,F,G#,B,E,F#,A#"
C#,m6,"1,b3,5,6","C#,E,G#,A#"
C#,13(#5),"1,3,#5,b7,9,11,13","C#,F,A,B,D#,F#,A#"
C#,m6/9,"1,b3,5,6,9","C#,E,G#,A#,D#"
C#,7(b9),"1,3,5,b7,b9","C#,F,G#,B,D"
C#,m9,"1,b3,5,b7,9","C#,E,G#,B,D#"
C#,13(b9),"1,3,5,b7,b9,11,13","C#,F,G#,B,D,F#,A#"
C#,sus4,"1,4,5","C#,F#,G#"
C#,6/9,"1,3,5,6,9","C#,F,G#,A#,D#"
